Month,Year_Month,numerical_date,Locality,Latitude,Longitude,Camera,Richness,Abundance,richness_avg,abundance_avg
June,2021June,2021.06,CerroMundo,-0.868333,-89.584444,1,6,33,5.333333333,20.33333333
July,2021July,2021.07,CerroMundo,-0.868333,-89.584444,1,6,28,6,18.5
November,2022November,2022.11,CerroMundo,-0.868333,-89.584444,1,5,17,6.666666667,87.33333333
January,2022January,2022.01,CerroMundo,-0.868333,-89.584444,1,11,133,11.66666667,131
March,2022March,2022.03,CerroMundo,-0.868333,-89.584444,1,6,101,5.333333333,55
May,2022_May,2022.05,CerroMundo,-0.868333,-89.584444,2,5,49,8,118.3333333
August,2022August,2022.08,CerroMundo,-0.868333,-89.584444,1,10,155,11,191.6666667
July,2021July,2021.06,Tijeretas,-0.888056,-89.606944,1,8,32,8,32
November,2021November,2021.11,Tijeretas,-0.888056,-89.606944,3,9,188,9,188
January,2022January,2022.01,Tijeretas,-0.888056,-89.606944,2,15,202,13,176.5
March,2022March,2022.03,Tijeretas,-0.888056,-89.606944,1,12,37,11,25
August,2022August,2022.08,Tijeretas,-0.888056,-89.606944,1,9,280,11.33333333,223.3333333
November,2022November,2022.11,Tijeretas,-0.888056,-89.606944,1,4,17,6.666666667,54
November,2021November,2022.11,CerroBrujo,-0.768454,-89.475027,2,6,106,8.666666667,135.6666667
May,2022may,2022.05,CerroBrujo,-0.768454,-89.475027,1,12,152,12,146
November,2022November,2022.11,CerroBrujo,-0.768454,-89.475027,1,12,197,12.33333333,149.3333333
January,2022January,2022.01,Kicker Rock,-0.778246,-89.518588,1,13,486,12.66666667,400.3333333
May,2022may,2022.05,Kicker Rock,-0.778246,-89.518588,2,16,407,14.33333333,409.3333333
July,2022July,2022.07,Kicker Rock,-0.778246,-89.518588,1,7,252,8.5,219
November,2022November,2022.11,Kicker Rock,-0.778246,-89.518588,1,3,8,3.666666667,9.666666667
November,2021November,2022.11,LaBarcaza,-0.671363,-89.265137,1,8,25,6.666666667,48.66666667
January,2022January,2022.01,LaBarcaza,-0.671363,-89.265137,1,8,169,9.666666667,204.6666667
March,2022March,2022.03,LaBarcaza,-0.671363,-89.265137,1,8,167,10.66666667,250
June,2021June,2021.06,RocaPitt,-0.702778,-89.247778,,0,0,12.5,89
January,,2022.01,RocaPitt,-0.702778,-89.247778,1,12,195,12,195
March,2022March,2022.03,RocaPitt,-0.702778,-89.247778,1,10,43,14,134
May,2022may,2022.05,RocaPitt,-0.702778,-89.247778,4,18,500,21,629
August,2022August,2022.08,RocaPitt,-0.702778,-89.247778,3,23,640,23,640
November,2022November,2022.11,RocaPitt,-0.702778,-89.247778,1,20,167,17.5,192
